Datum,Uhrzeit,Ort,Google Maps Link
04.03.2022,11.00h,Gütersloh Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Gütersloh Theater, Hans-Werner-Henze-Platz 1, 33330 Gütersloh"
22.11.2022,9.00h,Recklinghausen Marie-Curie-Gymnasium,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Recklinghausen Marie-Curie-Gymnasium, Görresstraße 5, 45657 Recklinghausen"
22.11.2022,11.00h,Recklinghausen Marie-Curie-Gymnasium,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Recklinghausen Marie-Curie-Gymnasium, Görresstraße 5, 45657 Recklinghausen"
15.02.2023,11.30h,Bocholt Aula St.-Georg-Gymnasium,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Bocholt Aula St.-Georg-Gymnasium, Adenauerallee 1, 46399 Bocholt"
06.03.2023,9.00h,Recklinghausen Marie-Curie-Gymnasium,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Recklinghausen Marie-Curie-Gymnasium, Görresstraße 5, 45657 Recklinghausen"
06.03.2023,11.30h,Recklinghausen Marie-Curie-Gymnasium,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Recklinghausen Marie-Curie-Gymnasium, Görresstraße 5, 45657 Recklinghausen"
07.03.2023,9.00h,Castrop-Rauxel Neue Gesamtschule Ickern,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Neue Gesamtschule Ickern, Waldenburger Straße 130, 44581 Castrop-Rauxel"
07.03.2023,11.30h,Castrop-Rauxel Neue Gesamtschule Ickern,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Neue Gesamtschule Ickern, Waldenburger Straße 130, 44581 Castrop-Rauxel"
08.03.2023,9.00h,Castrop-Rauxel Studio,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Studio, Europaplatz, 44575 Castrop-Rauxel"
08.03.2023,11.30h,Castrop-Rauxel Studio,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Studio, Europaplatz, 44575 Castrop-Rauxel"
27.03.2023,13.30h,Castrop-Rauxel Studio,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Studio, Europaplatz, 44575 Castrop-Rauxel"
28.03.2023,9.00h,Castrop-Rauxel Studio,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Castrop-Rauxel Studio, Europaplatz, 44575 Castrop-Rauxel"
26.04.2023,9.00h,Wolfenbüttel Lessingtheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Wolfenbüttel Lessingtheater, Harztorwall 16, 38300 Wolfenbüttel, Niedersachs"
